province_state,confirmed,date
Ohio,107,2020-08-04
Florida,5354,2020-08-04
Florida,1206,2020-08-04
Georgia,108,2020-08-04
Maryland,1088,2020-08-04
Michigan,4007,2020-08-04
New York,651,2020-08-04
New York,18548,2020-08-04
New York,81803,2020-08-04
New York,4075,2020-08-04
Oklahoma,317,2020-08-04
Louisiana,5070,2020-08-04
Wisconsin,1416,2020-08-04
New Jersey,992,2020-08-04
New Jersey,4156,2020-08-04
New Jersey,3038,2020-08-04
New Jersey,2468,2020-08-04
New Jersey,2856,2020-08-04
New Jersey,4372,2020-08-04
Connecticut,1664,2020-08-04
Pennsylvania,1521,2020-08-04
Pennsylvania,4777,2020-08-04
Massachusetts,3545,2020-08-04
Massachusetts,1778,2020-08-04
Massachusetts,1327,2020-08-04
Iowa,1,2020-08-04
Iowa,2,2020-08-04
Iowa,6,2020-08-04
Iowa,1,2020-08-04
Iowa,3,2020-08-04
Iowa,3,2020-08-04
Iowa,4,2020-08-04
Iowa,11,2020-08-04
Ohio,1,2020-08-04
Ohio,2,2020-08-04
Ohio,2,2020-08-04
Ohio,6,2020-08-04
Ohio,6,2020-08-04
Ohio,6,2020-08-04
Ohio,2,2020-08-04
Ohio,6,2020-08-04
Ohio,35,2020-08-04
Ohio,1,2020-08-04
Ohio,8,2020-08-04
Ohio,0,2020-08-04
Ohio,25,2020-08-04
Idaho,3,2020-08-04
Idaho,2,2020-08-04
Idaho,2,2020-08-04
Maine,12,2020-08-04
Maine,31,2020-08-04
Texas,2,2020-08-04
Texas,1,2020-08-04
Texas,7,2020-08-04
Texas,0,2020-08-04
Texas,7,2020-08-04
Texas,7,2020-08-04
Texas,1,2020-08-04
Texas,1,2020-08-04
Texas,9,2020-08-04
Texas,1,2020-08-04
Texas,1,2020-08-04
Texas,65,2020-08-04
Texas,29,2020-08-04
Texas,3,2020-08-04
Texas,6,2020-08-04
Texas,1,2020-08-04
Texas,8,2020-08-04
Texas,1,2020-08-04
Alaska,5,2020-08-04
Alaska,2,2020-08-04
Hawaii,2,2020-08-04
Kansas,11,2020-08-04
Kansas,2,2020-08-04
Kansas,2,2020-08-04
Kansas,11,2020-08-04
Kansas,2,2020-08-04
Kansas,1,2020-08-04
Kansas,1,2020-08-04
Kansas,3,2020-08-04
Kansas,2,2020-08-04
Kansas,3,2020-08-04
Kansas,5,2020-08-04
Kansas,1,2020-08-04
Kansas,10,2020-08-04
Kansas,3,2020-08-04
Kansas,19,2020-08-04
Nevada,7,2020-08-04
Oregon,2,2020-08-04
Alabama,31,2020-08-04
Alabama,0,2020-08-04
Alabama,15,2020-08-04
Alabama,16,2020-08-04
Arizona,23,2020-08-04
Arizona,124,2020-08-04
Florida,29,2020-08-04
Florida,4,2020-08-04
Georgia,3,2020-08-04
Georgia,18,2020-08-04
Georgia,12,2020-08-04
Georgia,12,2020-08-04
Georgia,11,2020-08-04
Georgia,10,2020-08-04
Georgia,22,2020-08-04
Georgia,8,2020-08-04
Georgia,5,2020-08-04
Georgia,4,2020-08-04
Georgia,5,2020-08-04
Indiana,12,2020-08-04
Indiana,60,2020-08-04
Indiana,17,2020-08-04
Indiana,1,2020-08-04
Indiana,17,2020-08-04
Indiana,5,2020-08-04
Indiana,85,2020-08-04
Indiana,5,2020-08-04
Indiana,1,2020-08-04
Montana,1,2020-08-04
Montana,1,2020-08-04
Montana,7,2020-08-04
Montana,3,2020-08-04
Montana,2,2020-08-04
Vermont,4,2020-08-04
Vermont,8,2020-08-04
Wyoming,26,2020-08-04
Wyoming,1,2020-08-04
Wyoming,0,2020-08-04
Arkansas,16,2020-08-04
Arkansas,1,2020-08-04
Arkansas,1,2020-08-04
Arkansas,1,2020-08-04
Arkansas,1,2020-08-04
Arkansas,1,2020-08-04
Arkansas,1,2020-08-04
Arkansas,1,2020-08-04
Arkansas,1,2020-08-04
Arkansas,6,2020-08-04
Arkansas,6,2020-08-04
Arkansas,20,2020-08-04
Arkansas,1,2020-08-04
Arkansas,6,2020-08-04
Colorado,32,2020-08-04
Colorado,2,2020-08-04
Colorado,3,2020-08-04
Colorado,23,2020-08-04
Colorado,4,2020-08-04
Colorado,3,2020-08-04
Colorado,5,2020-08-04
Colorado,4,2020-08-04
Colorado,1,2020-08-04
Colorado,5,2020-08-04
Illinois,3,2020-08-04
Illinois,2,2020-08-04
Illinois,2,2020-08-04
Illinois,2,2020-08-04
Illinois,2,2020-08-04
Illinois,12,2020-08-04
Illinois,4,2020-08-04
Illinois,1,2020-08-04
Illinois,31,2020-08-04
Illinois,1,2020-08-04
Kentucky,2,2020-08-04
Kentucky,1,2020-08-04
Kentucky,2,2020-08-04
Kentucky,3,2020-08-04
Kentucky,4,2020-08-04
Kentucky,6,2020-08-04
Kentucky,27,2020-08-04
Kentucky,4,2020-08-04
Kentucky,1,2020-08-04
Kentucky,1,2020-08-04
Kentucky,8,2020-08-04
Kentucky,2,2020-08-04
Kentucky,3,2020-08-04
Kentucky,1,2020-08-04
Kentucky,1,2020-08-04
Maryland,16,2020-08-04
Michigan,1,2020-08-04
Michigan,152,2020-08-04
Michigan,3,2020-08-04
Michigan,3,2020-08-04
Michigan,0,2020-08-04
Michigan,3,2020-08-04
