province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Ohio,US,2020-08-04,40.0543329,-84.22871271,POINT(-84.22871271 40.0543329),107,14,0,0,39109,Miami,"Miami, Ohio, US"
Florida,US,2020-08-04,25.6112362,-80.55170587,POINT(-80.55170587 25.6112362),5354,49,0,0,12086,Miami-Dade,"Miami-Dade, Florida, US"
Florida,US,2020-08-04,26.64676272,-80.46536002,POINT(-80.46536002 26.64676272),1206,69,0,0,12099,Palm Beach,"Palm Beach, Florida, US"
Georgia,US,2020-08-04,31.22483255,-84.19381821,POINT(-84.19381821 31.22483255),108,11,0,0,13205,Mitchell,"Mitchell, Georgia, US"
Maryland,US,2020-08-04,39.13676329,-77.20358245,POINT(-77.20358245 39.13676329),1088,26,0,0,24031,Montgomery,"Montgomery, Maryland, US"
Michigan,US,2020-08-04,42.66090111,-83.38595416,POINT(-83.38595416 42.66090111),4007,234,0,0,26125,Oakland,"Oakland, Michigan, US"
New York,US,2020-08-04,43.14638895,-77.69322942,POINT(-77.69322942 43.14638895),651,34,0,0,36055,Monroe,"Monroe, New York, US"
New York,US,2020-08-04,40.74066522,-73.58941873,POINT(-73.58941873 40.74066522),18548,500,0,0,36059,Nassau,"Nassau, New York, US"
New York,US,2020-08-04,40.7672726,-73.97152637,POINT(-73.97152637 40.7672726),81803,4571,0,0,36061,New York City,"New York City, New York, US"
New York,US,2020-08-04,41.40337468,-74.30240757,POINT(-74.30240757 41.40337468),4075,107,0,0,36071,Orange,"Orange, New York, US"
Oklahoma,US,2020-08-04,35.55140095,-97.40716948,POINT(-97.40716948 35.55140095),317,15,0,0,40109,Oklahoma,"Oklahoma, Oklahoma, US"
Louisiana,US,2020-08-04,30.06971951,-89.92660315,POINT(-89.92660315 30.06971951),5070,208,0,0,22071,Orleans,"Orleans, Louisiana, US"
Wisconsin,US,2020-08-04,43.00486062,-87.96733172,POINT(-87.96733172 43.00486062),1416,56,0,0,55079,Milwaukee,"Milwaukee, Wisconsin, US"
New Jersey,US,2020-08-04,40.28047017,-74.70479631,POINT(-74.70479631 40.28047017),992,28,0,0,34021,Mercer,"Mercer, New Jersey, US"
New Jersey,US,2020-08-04,40.43629879,-74.41426991,POINT(-74.41426991 40.43629879),4156,139,0,0,34023,Middlesex,"Middlesex, New Jersey, US"
New Jersey,US,2020-08-04,40.26549699,-74.22240686,POINT(-74.22240686 40.26549699),3038,86,0,0,34025,Monmouth,"Monmouth, New Jersey, US"
New Jersey,US,2020-08-04,40.86095313,-74.5455371,POINT(-74.5455371 40.86095313),2468,102,0,0,34027,Morris,"Morris, New Jersey, US"
New Jersey,US,2020-08-04,39.8895449,-74.28089251,POINT(-74.28089251 39.8895449),2856,101,0,0,34029,Ocean,"Ocean, New Jersey, US"
New Jersey,US,2020-08-04,41.03238628,-74.29954144,POINT(-74.29954144 41.03238628),4372,71,0,0,34031,Passaic,"Passaic, New Jersey, US"
Connecticut,US,2020-08-04,41.4080325,-72.93620426,POINT(-72.93620426 41.4080325),1664,60,0,0,9009,New Haven,"New Haven, Connecticut, US"
Pennsylvania,US,2020-08-04,40.21053671,-75.36652296,POINT(-75.36652296 40.21053671),1521,37,0,0,42091,Montgomery,"Montgomery, Pennsylvania, US"
Pennsylvania,US,2020-08-04,40.00338507,-75.1379271,POINT(-75.1379271 40.00338507),4777,87,0,0,42101,Philadelphia,"Philadelphia, Pennsylvania, US"
